Matricula_Aluno,Situacao_Atual,Desistencia_Real,Probabilidade_Churn,Predicao_Churn,Meses_na_Escola,Modalidade_Ensino,Valor_Mensalidade,Tipo_Contrato_Matricula,Forma_Pagamento_Mensalidade,Genero,Aluno_Bolsista,Participa_Atividade_Extra,Apoio_Psicopedagogico,Reforco_Escolar,Risco_de_Desistencia,Nivel_Risco,Ranking
2545-EBUPK,Ativo,0,0.8650653839122133,1,2,Híbrido,84.05,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,72,CRÍTICO,1
9629-NHXFW,Ativo,0,0.8485989639108025,1,1,EAD,19.4,Mensal,Boleto Impresso,Female,Não,Sim,Não se aplica,Não se aplica,72,CRÍTICO,2
4090-KPJIP,Ativo,0,0.8387531031636263,1,3,Híbrido,74.95,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,70,CRÍTICO,3
2262-SLNVK,Ativo,0,0.8354421423936895,1,1,Híbrido,70.1,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,74,CRÍTICO,4
4445-ZJNMU,Ativo,0,0.8254168469512739,1,9,Híbrido,99.3,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Sim,69,CRÍTICO,5
7394-LWLYN,Ativo,0,0.819429560596162,1,2,Híbrido,70.15,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,75,CRÍTICO,6
1746-TGTWV,Ativo,0,0.8167724749218235,1,1,Híbrido,75.35,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,70,CRÍTICO,7
3904-UKFRE,Ativo,0,0.816397213918899,1,4,Híbrido,80.1,Mensal,Boleto Digital,Male,Não,Sim,Sim,Não,67,CRÍTICO,8
4929-XIHVW,Ativo,0,0.8150862080686953,1,2,Híbrido,95.5,Mensal,Cartão de Crédito Recorrente,Male,Sim,Sim,Não,Não,69,CRÍTICO,9
5442-BHQNG,Ativo,0,0.8149167252053683,1,2,Híbrido,70.35,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,73,CRÍTICO,10
5339-PXDVH,Ativo,0,0.8057188759992637,1,4,Híbrido,90.65,Mensal,Boleto Digital,Male,Não,Sim,Sim,Não,70,CRÍTICO,11
1658-TJVOA,Ativo,0,0.7967691131104192,1,6,Híbrido,74.1,Mensal,Boleto Digital,Female,Sim,Sim,Sim,Não,79,ALTO,12
8950-MTZNV,Ativo,0,0.7939195072992711,1,1,Presencial,44.95,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,75,ALTO,13
4480-QQRHC,Ativo,0,0.793774044999312,1,8,Híbrido,74.05,Mensal,Débito Automático,Female,Sim,Sim,Não,Não,79,ALTO,14
4029-HPFVY,Ativo,0,0.7921278526350563,1,3,Híbrido,70.3,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,67,ALTO,15
0674-EYYZV,Ativo,0,0.7878696506697783,1,1,Presencial,54.65,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,74,ALTO,16
3320-VEOYC,Ativo,0,0.7835771486376172,1,14,Híbrido,95.6,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,78,ALTO,17
9214-EKVXR,Ativo,0,0.7834498915109216,1,1,Presencial,44.0,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,75,ALTO,18
2984-AFWNC,Ativo,0,0.7763437735663946,1,3,Híbrido,95.4,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,70,ALTO,19
8714-CTZJW,Ativo,0,0.7754290001737781,1,4,Híbrido,82.85,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,80,ALTO,20
2674-MIAHT,Ativo,0,0.7729617761091755,1,4,Híbrido,80.3,Mensal,Boleto Impresso,Female,Não,Sim,Não,Sim,70,ALTO,21
2688-BHGOG,Ativo,0,0.7724798508756312,1,9,Híbrido,79.55,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,76,ALTO,22
2215-ZAFGX,Ativo,0,0.7702689209676967,1,9,Híbrido,85.5,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,69,ALTO,23
7994-UYIVZ,Ativo,0,0.7657127134455354,1,8,Híbrido,85.65,Mensal,Débito Automático,Male,Não,Sim,Não,Não,72,ALTO,24
4847-TAJYI,Ativo,0,0.762658470135354,1,6,Híbrido,89.35,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,75,ALTO,25
3199-XGZCY,Ativo,0,0.7616651370866343,1,8,Híbrido,75.25,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,74,ALTO,26
7354-OIJLX,Ativo,0,0.7577046172568307,1,9,Híbrido,75.85,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,70,ALTO,27
5044-LRQAQ,Ativo,0,0.7542429481240162,1,7,Híbrido,69.2,Mensal,Débito Automático,Female,Não,Sim,Não,Não,73,ALTO,28
3489-HHPFY,Ativo,0,0.7511760827875361,1,2,Híbrido,84.05,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,78,ALTO,29
4854-CIDCF,Ativo,0,0.7452882555250466,1,3,Híbrido,73.85,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,74,ALTO,30
2692-PFYTJ,Ativo,0,0.736202369975006,1,1,EAD,25.75,Mensal,Boleto Impresso,Female,Não,Sim,Não se aplica,Não se aplica,67,ALTO,31
